名次,球队,赛,胜,平,负,积分
1,萨洛尼卡,6,3,3,0,12
1,马德里竞技,6,4,1,1,13
1,哈尔科夫,6,4,2,0,14
1,沙尔克04,6,4,2,0,14
1,贝西克塔斯,6,4,0,2,12
1,布鲁日,6,3,2,1,11
1,特温特,6,4,1,1,13
1,安德莱赫特,6,6,0,0,18
1,里斯本竞技,6,4,0,2,12
2,华沙莱吉亚,6,3,0,3,9
2,布拉加,6,3,2,1,11
2,喀山鲁宾,6,3,2,1,11
2,乌迪内斯,6,2,3,1,9
2,萨尔斯堡,6,3,1,2,10
2,阿尔克马尔,6,1,5,0,8
2,莫斯科火车头,6,4,0,2,12
2,斯托克城,6,3,2,1,11
2,汉诺威96,6,3,2,1,11
2,布加勒斯特星,6,2,2,2,8
2,拉齐奥,6,2,3,1,9
2,克拉科夫,6,3,0,3,9
3,凯尔特人,6,1,3,2,6
3,雅典AEK,6,1,0,5,3
3,富勒姆,6,2,2,2,8
3,海法马卡比,6,2,0,4,6
3,瓦斯卢伊,6,1,3,2,6
3,特拉维夫工人,6,2,1,3,7
3,基辅迪纳摩,6,1,4,1,7
3,巴黎圣日耳曼,6,3,1,2,10
3,伯明翰,6,3,1,2,10
3,热刺,6,3,1,2,10
3,奥地利维也纳,6,2,2,2,8
3,哥本哈根,6,1,2,3,5
4,沃斯卡拉,6,0,2,4,2
4,沙姆洛克流浪,6,0,0,6,0
4,奥敦塞,6,1,1,4,4
4,布格勒斯特快速,6,1,0,5,3
4,拉纳卡AEK,6,1,2,3,5
4,马尔默,6,0,1,5,1
4,苏黎世,6,1,2,3,5
4,雷恩,6,0,3,3,3
4,斯洛云,6,0,1,5,1
4,马里博尔,6,0,1,5,1
4,特拉维夫马卡比,6,0,2,4,2
4,格拉茨风暴,6,1,0,5,3
