名次,球队,赛,胜,平,负,积分
1,莫斯科火车头,6,3,2,1,11
1,热刺,6,4,1,1,13
1,利物浦,6,2,4,0,10
1,维也纳快速,6,5,0,1,15
1,巴塞尔,6,4,1,1,13
1,沙尔克04,6,4,2,0,14
1,拉齐奥,6,4,2,0,14
1,那不勒斯,6,6,0,0,18
1,克拉斯诺达尔,6,4,1,1,13
1,莫尔德,6,3,2,1,11
1,布拉加,6,4,1,1,13
1,毕尔巴鄂竞技,6,4,1,1,13
2,多特蒙德,6,3,1,2,10
2,圣埃蒂安,6,2,3,1,9
2,比利亚雷亚尔,6,4,1,1,13
2,安德莱赫特,6,3,1,2,10
2,锡永,6,2,3,1,9
2,布拉格斯巴达,6,3,3,0,12
2,奥格斯堡,6,3,0,3,9
2,马赛,6,4,0,2,12
2,费内巴切,6,2,3,1,9
2,佛罗伦萨,6,3,1,2,10
2,中日德兰,6,2,1,3,7
2,里斯本竞技,6,3,1,2,10
3,摩纳哥,6,1,3,2,6
3,阿贾克斯,6,1,4,1,7
3,利贝雷茨,6,2,1,3,7
3,第聂伯罗,6,2,1,3,7
3,泰利普利斯,6,1,1,4,4
3,喀山鲁宾,6,1,3,2,6
3,游击队,6,3,0,3,9
3,比尔森,6,1,1,4,4
3,布鲁日,6,1,2,3,5
3,贝西克塔斯,6,2,3,1,9
3,莱希波兹南,6,1,2,3,5
3,帕奥克,6,1,4,1,7
4,盖贝莱,6,0,2,4,2
4,科尔察,6,1,0,5,3
4,罗森博格,6,0,2,4,2
4,凯尔特人,6,0,3,3,3
4,阿尔克马尔,6,1,1,4,4
4,华沙莱吉亚,6,1,1,4,4
4,希腊人竞技,6,1,0,5,3
4,贝莱嫩斯,6,1,2,3,5
4,卡拉巴赫,6,1,1,4,4
4,波尔多,6,0,4,2,4
4,明斯克迪纳摩,6,1,0,5,3
4,格罗宁根,6,0,2,4,2
